Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
לישראל,"jord0001-115, jord0001-478",יִשְׂרָאֵל,PROPN,w-לישראל,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,y,Israel,,,y,Israel,https://pleiades.stoa.org/places/981527,,,,,,,,,,,,,,
לך,jord0001-449,לְ,PREP,w-לך,PREPOSITION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לכה,jord0001-134,לְ,PREP,w-לכה,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למ,masa0416-2,,,w-למ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למען,"jord0001-192, jord0001-455",לְמַעַן,PREP,w-למען,PREPOSITION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למתת,jeru0492-22,,,w-למתת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לני,jord0001-370,,,w-לני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לנפת,jeru0369-7,,,w-לנפת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לעולם,"beth0227-8, unkn0103-3, unkn0103-6",לְעוֹלָם,ADV,w-לעולם,ADVERB UNSPECIFIED,,,,,,,,,,,,,,,,,,,,y,eternity,,,,,,,,,,,,
לעום,beth0228-7,לְעוֹלָם,ADV,w-לעום,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINE SUF_PLURAL SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,y,eternity,,,,,,,,,,,,
לעזר,"jaff0054-5, jeru0492-6",אֶלְעָזָר,PROPN,w-לעזר,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Eleazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
לעשה,jeru0423-2,אלעסה,PROPN,w-לעשה,1-PreLets NONSTANDARD,,,y,m,Jewish,Elasah,,,,,,,,,,,,,,,,,,,,,,,,,,,
לף,"jeru0370-2, masa0589-2",אֶלֶף,X,w-לף,VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לפלליה,masa0419-1,פְּלַלְיָה,PROPN,w-לפלליה,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Pelaliah,,,,,,,,,,,,,,,,,,,,,,,,,,,
לפני,"jord0001-92, mger0150-9",לִפְנֵי,PREP,w-לפני,PREPOSITION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לפנך,jord0001-102,לִפְנֵי,PREP,w-לפנך,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לקדש,"masa0456-2, masa0457-3",קֹדֶשׁ,ADJ,w-לקדש,TOINFINITIVE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,holy,,,
לקיבז,jeru0395-1,,,w-לקיבז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לרמשא,"jeru0357-15, jeru0357-24",רַמְשָׁא,NOUN,w-לרמשא,Aramaic 1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,y,evening,,,,,,,,,,,,
לש,seph0100-2,,,w-לש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לשות,jord0001-504,לוש,VERB,w-לשות,VERB FEMININE PLURAL PERSON_ANY PRESENT UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לשלושת,jord0001-516,שְׁלוֹשָׁה,X,w-לשלושת,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE FEMININE SINGULAR CONSTRUCT UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לשלשת,jord0001-116,שְׁלוֹשָׁה,X,w-לשלשת,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NUMBER MASCULINE PLURAL CONSTRUCT UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לשנם,jord0001-538,,,w-לשנם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ם,"beth0261-4, beth0261-11, beth0276-4, jaff0057-4, jord0001-501, jord0001-503, masa0481-5",,,w-ם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מ,"beth0261-2, caes0519-1, jeru0349-3, jeru0357-13, jeru0378-1, jord0001-75, jord0001-318, jord0001-436, jord0001-472, jord0001-539, jord0001-544, masa0589-1, masa0597-2, masa0598-2, masa0599-2, unkn0102-13",מ,,w-מ,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,x,Gaza,https://pleiades.stoa.org/places/687902,,,,,,,,,,,,,,
מ/ת/מ/ת/,qumr0001-14,,,w-מ/ת/מ/ת/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מא,jord0001-365,,,w-מא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מאה,jeru0449-1,מֵאָה,X,w-מאה,NUMBER FEMININE SINGULARPLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מאמא,jaff0054-9,אִמָּא,NOUN,w-מאמא,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,mother,,,,,,,,,,,,,,,,,
מאני,jeru0449-3,אֳנִי,NOUN,w-מאני,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,y,fleet,,,,,,,,,,,,,,,,,,,,,
מבית,jeru0300-8,בַּיִת,NOUN,w-מבית,PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,house,,,,,,,,,y,house,,,,,
מביתי,jord0001-56,בַּיִת,NOUN,w-מביתי,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINEFEMININE SUF_SINGULAR SUF_PERSON_1,,,,,,,,,,,,,,,,,y,house,,,,,,,,,y,house,,,,,
מבמני,jeru0303-20,בֵּן,NOUN,w-מבמני,Aramaic 2-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PARTICIPLE MASCULINE SINGULAR PERSON_3 ABSOLUTE PASSIVE UNSPECIFIED,,,,,,,,,,,,,,,y,"son, descendant",,,,,,,,,,,,,,,,,
מבקש,jord0001-100,בקש,VERB,w-מבקש,VERB MASCULINE SINGULAR PERSON_ANY PRESENT UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מגה,beth0246-7,מגה,PROPN,w-מגה,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,y,f,Jewish,Megah,,,,,,,,,,,,,,,,,,,,,,,,,,,
מדרשו,dabb0006-3,מִדְרָשׁ,NOUN,w-מדרשו,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,y,house of study,,,,,,,,,,,y,house of study,,,
מה,"jord0001-135, jord0001-221",מָה,PRON,w-מה,PRONOUN UNSPECIFIED SINGULAR PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מוזנים,tibe0001-7,מוֹזְנַיִם,PROPN,w-מוזנים,PARTICIPLE MASCULINE PLURAL PERSON_ANY ABSOLUTE PASSIVE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Zodiac sign,Libra
מושבו,jord0001-161,,,w-מושבו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מי,jord0001-490,מִי,PRON,w-מי,INTERROGATIVE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מיאשה,beth0244-12,מיאשה,PROPN,w-מיאשה,PARTICIPLE FEMININE SINGULAR PERSON_3 ABSOLUTE PASSIVE UNSPECIFIED,,,y,m,Jewish,Miashah,,,,,,,,,,,,,,,,,,,,,,,,,,,
מיכאל,jord0001-196,מִיכָאֵל,PROPN,w-מיכאל,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,"angel, Michael",,,
מין,masa0449-9,מִין,,w-מין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מירושלם,jeru0350-4,יְרוּשָׁלַיִם,PROPN,w-מירושלם,PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,Jerusalem,https://pleiades.stoa.org/places/687928,,,,,,,,,,,,,,
מל,"jord0001-19, jord0001-497",,,w-מל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מלאכה,"jord0001-195, jord0001-220",מַלְאָךְ,NOUN,w-מלאכה,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,angel,,,
מלכין,jeru0335-1,מֶלֶךְ,NOUN,w-מלכין,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,y,government,king,,,,,,,,,,,,,y,king,,,,,,,,,
מלכנ,tdor0002-1,מלכנ,PROPN,w-מלכנ,VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_NOMINATIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מלפני,jord0001-130,לִּפְנֵי,PREP,w-מלפני,2-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINEFEMININE SUF_SINGULAR SUF_PERSON_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מלפניך,jord0001-508,לִּפְנֵי,PREP,w-מלפניך,PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PREPOSITION SUF_PRONOMINAL SUF_TYPE_NOMINATIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ממירושלם,jord0001-253,יְרוּשָׁלַיִם,PROPN,w-ממירושלם,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,Jerusalem,https://pleiades.stoa.org/places/687928,,,,,,,,,,,,,,
מן,"jeru0357-22, jord0001-91, jord0001-101, jord0001-159, jord0001-320, jord0001-400, jord0001-547",מִן,PREP,w-מן,PREPOSITION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מןמז,masa0544-1,,,w-מןמז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מנה,jeru0376-1,מנה,PROPN,w-מנה,Aramaic PREPOSITION UNSPECIFIED,,,y,f,Jewish,Minah,,,,,,,,,,,,,,,,,,,,,,,,,,,
מנוחתה,beth0242-1,מְנוּחָה,NOUN,w-מנוחתה,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,y,resting place,,,,,,,,,,,y,resting place,,,
מנחות,beth0237-3,נוח,VERB,w-מנחות,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מנחם,"jeru0418-2, jeru0449-15, jeru0449-17",מְנַחֵם,PROPN,w-מנחם,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Menahem,,,,,,,,,,,,,,,,,,,,,,,,,,,
מס,masa0549-1,,,w-מס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מעזיה,jeru0300-7,מַעַזְיָה,PROPN,w-מעזיה,[none provided],,,y,m,Jewish,Maaziah,,y,religious,priest of Maaziah,,,,,,,,,,,,,,,,,,,y,priest of Maaziah,,,
מעט,jord0001-163,מְעַט,ADV,w-מעט,ADVERB UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מעין,qumr0002-9,עַיִן,NOUN,w-מעין,PREPOSITION UNSPECIFIED,,,,,,,,,,,,,,,,,y,"spring, Ein-Gedi",https://pleiades.stoa.org/places/196074068,,,,,,,,,,,,,,
מעניה,jeru0492-13,עָנִי,ADJ,w-מעניה,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מערב,masa0550-1,מערב,ADJ,w-מערב,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,direction,west
מעשר,masa0441-1,מַעֲשֵׂר,NOUN,w-מעשר,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,y,tithe,y,tithe,y,tithe,,,
מפט,jeru0350-6,,,w-מפט,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מפנון,jeru0350-2,פנון,PROPN,w-מפנון,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,y,Banias,https://pleiades.stoa.org/places/678324,,,,,,,,,,,,,,
מצוותיו,ahma0001-6,מִצְוָה,NOUN,w-מצוותיו,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,commandment,,,
מצות,huqo0001-10,מִצְוָה,NOUN,w-מצות,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,commandment,,,
מק,"jeru0501-1, jord0001-401",,,w-מק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מקום,jaff0054-2,מָקוֹם,NOUN,w-מקום,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,y,"place, tomb",,,,,,,,,,,,,,,
מקים,beth0255-7,מקים,PROPN,w-מקים,VERB MASCULINE SINGULAR PERSON_ANY PRESENT UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Mokimos,,,,,,,,,,,,,,,,,,,,,,,,,,,
מר,jord0001-260,,,w-מר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרד,jeru0492-14,,ADJ,w-מרד,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מריה,"jeru0412-1, jeru0452-1, jeru0454-1",מריה,PROPN,w-מריה,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,y,f,Jewish,Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרים,"beth0243-1, jeru0300-1",,PROPN,w-מרים,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Miriam,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרעיש,jord0001-167,רעש,VERB,w-מרעיש,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרתא,jeru0506-1,מָרְתָא,PROPN,w-מרתא,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Martha,,,,,,,,,,,,,,,,,,,,,,,,,,,
מש,beth0238-7,,,w-מש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
משח,jeru0357-27,מִשְׁחָא,NOUN,w-משח,Aramaic NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,oil,,,,,
משכבו,"beth0227-2, beth0227-13, beth0228-2",מִשְׁכָּב,NOUN,w-משכבו,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,resting place,,,
משמר,ahma0001-3,שמר,VERB,w-משמר,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מת,jeru0319-1,,,w-מת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מתו,jord0001-74,,,w-מתו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מתח,huqo0001-6,,,w-מתח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מתיה,"anna0001-1, masa0498-1",מַתְיָה,PROPN,w-מתיה,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,y,m,Jewish,Mathias,,,,,,,,,,,,,,,,,,,,,,,,,,,
מתכמתב,shap0004-2,,,w-מתכמתב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מתת,jeru0485-1,מַתִּתְיָה,PROPN,w-מתת,[none provided],,,y,m,Jewish,Mathias,,,,,,,,,,,,,,,,,,,,,,,,,,,
מתתיה,"jeru0466-1, jeru0466-2",מַתִּתְיָה,PROPN,w-מתתיה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Mathias,,,,,,,,,,,,,,,,,,,,,,,,,,,
ן,"beth0237-33, huqo0001-8, huqo0001-15, jeru0357-7, jeru0357-12, jord0001-245, jord0001-268, jord0001-288, jord0001-316, jord0001-505, jord0001-527, jord0001-540",,,w-ן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נ,"beth0246-3, beth0263-5, beth0271-1, masa0401-4, qumr0001-10, qumr0001-26, qumr0001-40, unkn0102-14",נ,,w-נ,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נא,jord0001-342,נָא,INTJ,w-נא,INTERJECTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נבי,jord0001-500,,,w-נבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נביאים,jord0001-438,נָבִיא,NOUN,w-נביאים,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,y,prophet,,,,y,prophet,,,,
נביאין,jord0001-83,נְבִיָּא,NOUN,w-נביאין,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,y,prophet,,,,y,prophet,,,,
נה,masa0507-1,,,w-נה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נוח,jaff0052-9,נוח,VERB,w-נוח,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,resting place,,,,
נוטוס,masa0462-3,נוטוס,PROPN,w-נוטוס,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Notos,,,,,,,,,,,,,,,,,,,,,,,,,,,
נחמיה,"akld0021-3, beth0237-10, jeru0503-1, jeru0504-1",נְחֶמְיָה,PROPN,w-נחמיה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Nehemiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
נטירא,akld0023-1,נטירא,PROPN,w-נטירא,PARTICIPLE FEMININE SINGULAR PERSON_3 ABSOLUTE PASSIVE UNSPECIFIED,,,y,m,Jewish,Natira,,,,,,,,,,,,,,,,,,,,,,,,,,,
ני,"jeru0352-1, jord0001-55",,,w-ני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניח,mari0004-5,נוח,VERB,w-ניח,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניחמיה,beth0271-3,ניחמיה,,w-ניחמיה,VERB MASCULINE SINGULAR PERSON_3 FUTURE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,y,m,Jewish,Nehemiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניסן,tibe0002-2,נִיסָן,NOUN,w-ניסן,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,y,"spring, Nisan",Hebrew,,,,,,,,,,,
נן,jeru0357-18,,,w-נן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נסן,masa0479-3,נִיסָן,NOUN,w-נסן,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_PLURAL SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,y,"spring, Nisan",Hebrew,,,,,,,,,,,
נער,tdor0002-2,נַעַר,NOUN,w-נער,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,servant,,,,,,,y,servant,,,,,,,,,
נפק,jeru0369-3,נפק,VERB,w-נפק,VERB MASCULINE SINGULAR PERSON_3 PRESENT UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נפש,"jaff0052-10, mari0004-6",נֶפֶשׁ,NOUN,w-נפש,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,soul,,,
נצח,masa0545-1,נצח,NOUN,w-נצח,VERB MASCULINE SINGULAR PERSON_3 PAST PASSIVE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,"blood, juice",,,,,
נשבר,jord0001-127,נִשְׁבָּר,ADJ,w-נשבר,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נשיא,juda0001-4,נָשִׂיא,NOUN,w-נשיא,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,y,government,prince,,,,,,,,,,,,,y,prince,,,,,,,,,
נתי,jeru0387-3,נתי,PROPN,w-נתי,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Natai,,,,,,,,,,,,,,,,,,,,,,,,,,,
נתמ,qumr0002-7,נָתָן,PROPN,w-נתמ,[none provided],,,y,m,Jewish,Nathan,,,,,,,,,,,,,,,,,,,,,,,,,,,
נתנ,qumr0001-5,נָתָן,PROPN,w-נתנ,[none provided],,,y,m,Jewish,Nathan,,,,,,,,,,,,,,,,,,,,,,,,,,,
נתנאל,jeru0454-3,נְתַנְאֵל,PROPN,w-נתנאל,[none provided],,,y,m,Jewish,Nathaniel,,,,,,,,,,,,,,,,,,,,,,,,,,,
ס,"huqo0001-16, jeru0369-4, jeru0369-6, jeru0369-8, jeru0369-9, jeru0371-4, masa0590-1",סְאָה,NOUN,w-ס,NUMBER UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,y,seah,,,,,,,
סט,"jeru0463-1, jeru0463-2",,,w-סט,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סימי,jeru0457-1,סִימַי,PROPN,w-סימי,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Simai,,,,,,,,,,,,,,,,,,,,,,,,,,,
סמון,masa0415-2,סמון,PROPN,w-סמון,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,
סמעון,jeru0464-1,שִׁמְעוֹן,PROPN,w-סמעון,[none provided],,,y,m,Jewish,Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,
סקים,qumr0001-12,,,w-סקים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סתום,jord0001-346,סָתוּם,ADJ,w-סתום,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
